emp_title,emp_length,state,homeownership,annual_income,verified_income,debt_to_income,annual_income_joint,verification_income_joint,debt_to_income_joint,delinq_2y,months_since_last_delinq,earliest_credit_line,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,num_collections_last_12m,num_historical_failed_to_pay,months_since_90d_late,current_accounts_delinq,total_collection_amount_ever,current_installment_accounts,accounts_opened_24m,months_since_last_credit_inquiry,num_satisfactory_accounts,num_accounts_120d_past_due,num_accounts_30d_past_due,num_active_debit_accounts,total_debit_limit,num_total_cc_accounts,num_open_cc_accounts,num_cc_carrying_balance,num_mort_accounts,account_never_delinq_percent,tax_liens,public_record_bankrupt,loan_purpose,application_type,loan_amount,term,interest_rate,initial_listing_status,disbursement_method,id
senior accountant,3,OR,RENT,65000,Source Verified,35.6,NA,,NA,0,NA,2006,1,33,19,160672,112220,0,1,NA,0,0,6,8,6,19,0,0,10,32700,16,13,12,0,100,0,1,credit_card,individual,10000,36,7.34,whole,Cash,5319
preschool teacher,0,OH,MORTGAGE,34000,Verified,33.88,87689,Source Verified,20.62,0,NA,1985,2,15,11,71666,36556,0,0,NA,0,0,2,1,2,11,0,0,5,13700,9,8,7,1,100,0,0,debt_consolidation,joint,32000,60,12.62,whole,Cash,5320
sample seamstress,9,CA,RENT,40552,Source Verified,19.12,NA,,NA,0,NA,2007,2,18,13,60725,16227,0,0,NA,0,0,1,0,4,13,0,0,5,18000,14,12,6,0,100,0,0,debt_consolidation,individual,12500,36,7.97,whole,Cash,5321
sales,2,TX,RENT,55000,Source Verified,13.38,NA,,NA,0,NA,2008,0,16,6,96347,55551,0,0,NA,0,0,2,1,20,6,0,0,2,28300,4,4,2,0,100,0,0,other,individual,16000,60,9.93,whole,Cash,5322
,NA,MI,MORTGAGE,17000,Verified,30.44,57000,Verified,29.55,0,NA,1993,1,7,3,45543,45207,0,0,NA,0,0,3,0,1,3,0,0,0,0,4,0,0,0,100,0,0,home_improvement,joint,2700,36,12.62,whole,Cash,5323
chaplain/bereavement,6,CA,MORTGAGE,78000,Source Verified,4.86,NA,,NA,1,7,1999,4,26,8,586203,17050,0,0,NA,0,0,1,4,5,8,0,0,2,24200,16,6,3,3,96,0,0,debt_consolidation,individual,9000,36,7.96,whole,Cash,5324
qa supervisor ,7,CA,MORTGAGE,70000,Not Verified,9.51,NA,,NA,0,68,2007,0,19,8,232676,18696,1,0,68,0,113,1,0,NA,8,0,0,1,15300,13,6,4,2,89.5,0,0,debt_consolidation,individual,2500,36,9.43,whole,Cash,5325
engineer,1,GA,RENT,80000,Source Verified,11.03,NA,,NA,0,NA,2012,0,10,9,141379,29877,0,0,NA,0,0,1,1,NA,9,0,0,4,105000,8,8,4,0,100,0,0,major_purchase,individual,40000,36,5.32,whole,Cash,5326
social worker,8,CA,RENT,80000,Verified,17.04,NA,,NA,1,7,2001,3,19,11,60573,50946,1,0,7,0,90,5,1,10,11,0,0,1,5000,10,6,3,0,73.7,0,0,debt_consolidation,individual,20000,36,16.02,whole,Cash,5327
supervisor,10,PA,MORTGAGE,77000,Not Verified,10.98,NA,,NA,0,62,2000,0,24,13,116318,11730,0,0,NA,0,0,2,1,15,13,0,0,4,11700,14,9,7,2,95.8,0,0,home_improvement,individual,10000,36,5.31,whole,Cash,5328
senior dpo,4,SC,OWN,120000,Source Verified,16.98,NA,,NA,0,69,2004,0,29,6,306663,46361,0,1,NA,0,0,3,4,13,6,0,0,2,45000,10,2,2,1,96.6,1,0,credit_card,individual,30000,36,6.72,whole,Cash,5329
counselor,8,OH,MORTGAGE,48000,Not Verified,28.78,NA,,NA,0,NA,2002,8,30,11,203729,97403,0,0,NA,0,0,3,3,1,11,0,0,3,11000,17,7,5,2,100,0,0,debt_consolidation,individual,19000,36,16.01,whole,Cash,5330
property manager,10,MA,RENT,75000,Verified,15.58,NA,,NA,0,NA,2006,10,8,7,76995,73884,0,1,NA,0,0,2,2,8,7,0,0,4,16300,5,5,4,1,100,0,1,debt_consolidation,individual,25000,36,14.08,whole,Cash,5331
hs teacher/ college professor,10,FL,MORTGAGE,50000,Not Verified,12.79,NA,,NA,0,NA,2000,0,26,9,159302,41861,0,1,NA,0,0,2,3,19,9,0,0,2,21300,12,6,3,5,100,0,1,credit_card,individual,5000,36,9.44,whole,Cash,5332
vet assistant,4,CA,RENT,15000,Source Verified,13.92,NA,,NA,0,NA,2012,2,12,10,43247,35220,0,0,NA,0,0,1,7,4,10,0,0,4,10800,11,9,6,0,100,0,0,credit_card,individual,4300,36,10.91,whole,Cash,5333
driver,0,NY,RENT,17000,Not Verified,34.39,NA,,NA,0,NA,2009,0,7,6,25300,15043,0,0,NA,0,0,0,1,23,6,0,0,3,21000,7,6,5,0,100,0,0,debt_consolidation,individual,11450,60,30.65,whole,Cash,5334
accounting specialist,10,VA,RENT,50000,Not Verified,25.88,NA,,NA,0,48,2005,0,37,10,62933,44112,0,0,NA,0,0,2,4,18,10,0,0,2,7700,22,8,5,0,89.2,0,0,debt_consolidation,individual,10800,60,18.06,whole,Cash,5335
shipping forklift driver,10,WI,RENT,77000,Source Verified,11.92,NA,,NA,0,57,1995,0,18,5,55800,32347,0,0,57,0,0,1,3,18,5,0,0,3,29000,10,4,3,1,94.4,0,0,credit_card,individual,15000,36,10.91,whole,Cash,5336
teacher,3,NC,MORTGAGE,75000,Source Verified,7.94,NA,,NA,0,NA,2007,6,30,6,292304,82681,0,0,NA,0,1533,4,3,0,6,0,0,1,7500,3,1,1,2,100,0,0,debt_consolidation,individual,20000,60,14.08,whole,Cash,5337
assistant financial controller,3,NY,MORTGAGE,170000,Not Verified,13.18,NA,,NA,0,NA,1998,2,21,12,668215,47324,0,0,NA,0,0,2,3,9,12,0,0,5,42100,14,8,7,1,100,0,0,credit_card,individual,19000,36,6.71,whole,Cash,5338
films clerk,10,TX,MORTGAGE,59000,Source Verified,25.94,NA,,NA,0,NA,2002,2,9,7,256728,68598,0,0,NA,0,0,2,4,7,7,0,0,2,37000,4,4,2,1,100,0,0,medical,individual,6300,36,7.35,whole,Cash,5339
executive assistant,3,CT,MORTGAGE,69854,Verified,45.59,123854,Verified,27.47,0,NA,2009,0,15,12,132093,101221,0,0,NA,0,0,3,4,14,12,0,0,3,7500,9,9,8,1,100,0,0,debt_consolidation,joint,35000,60,30.17,whole,Cash,5340
sales executive,2,UT,RENT,30000,Source Verified,23.16,NA,,NA,0,NA,2012,1,13,8,56580,29844,0,0,NA,0,0,2,8,7,8,0,0,2,19300,8,6,3,0,100,0,0,debt_consolidation,individual,10000,36,6.72,fractional,Cash,5341
senior lender specialist ii,1,FL,RENT,43000,Source Verified,24.28,NA,,NA,0,65,2008,1,13,4,44979,32507,0,0,65,0,898,1,1,3,4,0,0,2,11600,10,3,3,0,92.3,0,0,debt_consolidation,individual,12000,36,10.42,whole,Cash,5342
sr market research analyst,10,OH,MORTGAGE,86000,Source Verified,31.87,NA,,NA,1,9,1998,1,16,9,253098,207326,0,0,46,0,0,3,3,8,9,0,0,3,14200,8,6,4,0,86.7,0,0,debt_consolidation,individual,10000,36,9.92,fractional,Cash,5343
licenced practical nurse,10,IL,MORTGAGE,37000,Source Verified,12.91,72000,Not Verified,8.72,2,6,2001,1,25,15,56416,10319,0,0,NA,0,0,1,5,6,15,0,0,3,19000,24,14,7,0,92,0,0,car,joint,16000,60,12.62,whole,Cash,5344
director of customer excellenc,0,MO,OWN,107000,Not Verified,25.52,NA,,NA,1,12,2000,1,38,16,336740,118767,0,0,NA,0,0,5,3,10,16,0,0,2,35300,17,10,5,1,97.4,0,0,car,individual,4000,36,10.41,whole,Cash,5345
network tech,10,WA,RENT,75000,Verified,25.86,NA,,NA,0,NA,2000,1,22,11,101900,52786,0,0,NA,0,0,4,2,6,11,0,0,5,31100,9,7,6,1,100,0,0,debt_consolidation,individual,32150,60,13.58,whole,Cash,5346
senior accountant,4,TX,MORTGAGE,114000,Source Verified,20.22,NA,,NA,0,NA,1978,0,45,15,98351,64066,0,0,NA,0,0,0,3,15,15,0,0,6,55900,39,14,11,1,100,0,0,credit_card,individual,18000,36,10.9,whole,Cash,5347
attorney,6,NC,MORTGAGE,95000,Not Verified,21.88,NA,,NA,0,NA,2004,0,29,9,559236,306422,0,0,NA,0,0,4,0,NA,9,0,0,2,33500,4,4,2,1,100,0,0,debt_consolidation,individual,17000,60,9.93,whole,Cash,5348
,NA,SC,OWN,42000,Not Verified,27.08,NA,,NA,0,NA,2002,0,14,7,35800,25038,0,0,NA,0,0,1,1,NA,7,0,0,2,10300,9,5,3,0,100,0,0,debt_consolidation,individual,10000,36,14.07,fractional,Cash,5349
senior product developer,3,IN,RENT,95000,Not Verified,10.38,NA,,NA,0,NA,2005,1,11,6,72500,13076,0,0,NA,0,0,1,0,1,6,0,0,2,44500,6,5,2,3,100,0,0,debt_consolidation,individual,10000,36,5.32,whole,Cash,5350
material handler,6,AZ,MORTGAGE,90000,Not Verified,7.15,NA,,NA,0,NA,2007,2,22,11,187458,14871,0,0,NA,0,0,2,9,1,11,0,0,3,26500,14,8,5,2,95.5,0,0,debt_consolidation,individual,5000,36,6.72,fractional,Cash,5351
atc ,10,NH,RENT,170000,Not Verified,4.77,340000,Not Verified,16.85,1,16,2003,0,32,13,70375,44157,0,0,37,0,0,1,5,19,13,0,0,9,34300,26,12,12,1,71.9,0,0,major_purchase,joint,40000,60,11.98,whole,Cash,5352
,NA,MN,RENT,10548,Source Verified,25.6,NA,,NA,0,52,2010,3,19,12,27600,4030,0,0,NA,0,0,1,8,6,12,0,0,4,15600,17,11,4,0,92.9,0,0,debt_consolidation,individual,3000,36,9.93,whole,Cash,5353
inside sales,2,MO,MORTGAGE,41000,Source Verified,25.67,NA,,NA,0,NA,1992,2,74,28,187370,30465,0,0,NA,0,0,0,5,1,28,0,0,14,68900,66,27,20,2,100,0,0,credit_card,individual,10000,36,6.72,whole,Cash,5354
director,10,CA,RENT,125000,Source Verified,4.96,NA,,NA,0,37,1986,1,15,9,16300,12962,0,1,37,0,0,1,6,8,9,0,0,5,10800,10,7,6,0,92.3,0,1,debt_consolidation,individual,13800,60,17.09,whole,Cash,5355
production and warehouse,5,OR,OWN,23000,Source Verified,9.71,42950,Source Verified,37.49,0,NA,2011,0,13,4,35300,5163,0,0,NA,0,0,0,3,NA,4,0,0,2,35300,13,4,2,0,100,0,0,credit_card,joint,16800,60,18.45,whole,Cash,5356
operations manager,8,CO,OWN,85750,Not Verified,20.39,NA,,NA,0,NA,1985,0,34,12,89669,57403,0,0,NA,0,0,2,3,NA,12,0,0,3,15500,23,10,5,0,100,0,0,credit_card,individual,11400,60,12.62,whole,Cash,5357
senior director ,7,OR,MORTGAGE,118000,Source Verified,9.34,NA,,NA,0,63,1990,1,31,7,408718,30064,0,0,NA,0,0,2,4,11,7,0,0,0,0,20,4,2,5,87.1,0,0,debt_consolidation,individual,7000,36,10.91,fractional,Cash,5358
psychometrician,4,OH,RENT,35000,Source Verified,22.29,72376,Not Verified,26.94,0,NA,2006,4,9,6,66677,41063,0,0,NA,0,0,4,1,6,6,0,0,1,19800,2,2,1,0,88.9,0,0,home_improvement,joint,19200,60,17.09,whole,Cash,5359
porter,2,NY,RENT,42000,Source Verified,20.89,NA,,NA,0,NA,2006,1,20,11,47800,18002,0,0,NA,0,0,1,2,6,11,0,0,4,35000,18,10,4,0,100,0,0,debt_consolidation,individual,15000,36,10.91,whole,Cash,5360
owner,9,PA,OWN,86000,Not Verified,10.02,NA,,NA,0,NA,2001,0,19,10,58600,28611,0,0,NA,0,0,0,0,NA,10,0,0,7,48500,18,10,9,0,100,0,0,credit_card,individual,14000,36,6.72,fractional,Cash,5361
accounting,1,KS,MORTGAGE,56000,Source Verified,28.78,NA,,NA,0,NA,1999,2,16,12,66750,40800,0,0,NA,0,580,1,6,6,12,0,0,5,26500,12,10,8,0,100,0,0,debt_consolidation,individual,5000,36,12.62,whole,Cash,5362
agent,9,MD,MORTGAGE,54300,Verified,53.39,143800,Verified,25.82,0,NA,2005,1,25,19,347839,93334,0,0,NA,0,125,7,2,8,19,0,0,5,26700,14,11,10,1,100,0,0,major_purchase,joint,5000,36,15.05,fractional,Cash,5363
cooler service technician,8,CA,RENT,45000,Not Verified,35.68,NA,,NA,0,NA,2001,2,38,20,106434,38711,0,0,NA,0,0,4,6,5,20,0,0,5,45900,28,16,6,0,100,0,0,debt_consolidation,individual,15500,36,9.44,whole,Cash,5364
,NA,DC,MORTGAGE,106686,Verified,19.96,NA,,NA,0,37,1994,2,29,12,571202,71914,0,1,53,0,0,4,10,7,12,0,0,2,15600,13,7,5,5,92.9,1,0,home_improvement,individual,40000,60,16.01,whole,Cash,5365
purchasing manager,10,CA,MORTGAGE,115000,Not Verified,30.69,NA,,NA,0,NA,2005,2,17,8,265449,189488,0,0,NA,0,0,3,1,11,8,0,0,2,37400,7,4,2,1,100,0,0,vacation,individual,12000,36,6.08,whole,Cash,5366
internal auditor,3,PA,RENT,49500,Source Verified,21.5,NA,,NA,1,5,1987,0,24,7,26400,21695,0,0,43,0,287,0,1,17,7,0,0,1,3000,21,7,4,1,91.7,0,0,debt_consolidation,individual,10000,60,10.42,whole,DirectPay,5367
manager,8,NE,MORTGAGE,56000,Verified,24.67,NA,,NA,0,58,2006,11,26,12,254805,35773,0,0,58,0,1025,3,3,2,12,0,0,5,25700,12,8,5,1,84.6,0,0,debt_consolidation,individual,20000,36,14.08,fractional,Cash,5368
captain-fire department ,10,WA,RENT,180000,Source Verified,5.6,NA,,NA,1,16,1988,0,7,5,48731,23871,0,1,NA,0,0,1,2,15,5,0,0,1,1300,5,4,3,0,71.4,0,1,debt_consolidation,individual,36000,36,9.93,fractional,Cash,5369
counselor,6,MA,MORTGAGE,46000,Not Verified,18.18,NA,,NA,1,6,2005,0,21,10,45200,14718,0,0,NA,0,0,2,3,16,10,0,0,3,19700,18,8,7,1,95.2,0,0,debt_consolidation,individual,9000,36,12.61,fractional,Cash,5370
teller,0,MI,RENT,19719,Not Verified,3.04,NA,,NA,0,31,2012,1,9,9,18150,15586,0,0,31,0,0,5,2,8,9,0,0,2,4300,4,4,2,0,44.4,0,0,credit_card,individual,1000,36,11.99,fractional,DirectPay,5371
itd,5,OH,MORTGAGE,96000,Not Verified,33.16,134000,Not Verified,26.24,0,NA,1999,2,33,19,311435,119846,0,0,NA,0,0,5,11,2,19,0,0,10,61700,23,13,13,2,100,0,0,credit_card,joint,40000,36,7.34,whole,Cash,5372
flight attendant,10,IL,RENT,72000,Not Verified,16.7,NA,,NA,0,NA,2004,0,18,9,42014,32394,0,0,NA,0,0,1,2,14,9,0,0,3,18300,11,7,7,0,100,0,0,other,individual,2500,36,10.42,whole,Cash,5373
associate professor,4,MA,MORTGAGE,145000,Source Verified,16.14,NA,,NA,0,NA,1996,1,13,11,1172176,68245,0,0,NA,0,0,3,4,10,11,0,0,4,61300,6,5,4,3,100,0,0,debt_consolidation,individual,6025,36,13.59,whole,Cash,5374
asistence eng,0,NJ,MORTGAGE,85000,Not Verified,8.32,NA,,NA,0,52,2010,3,25,18,88742,23599,0,0,NA,0,0,2,14,6,18,0,0,5,42100,20,16,7,0,96,0,0,credit_card,individual,14000,36,7.97,whole,Cash,5375
electrician,2,PA,MORTGAGE,66872,Not Verified,18.09,NA,,NA,0,NA,2006,7,11,7,53512,43908,0,0,NA,0,0,2,6,2,7,0,0,4,16000,7,5,5,0,100,0,0,credit_card,individual,9000,36,21.45,fractional,Cash,5376
driver,2,NY,RENT,60000,Source Verified,21.06,NA,,NA,0,NA,2014,0,5,5,61817,46636,0,0,NA,0,0,1,2,13,5,0,0,2,9500,4,4,4,0,100,0,0,credit_card,individual,10000,36,6.08,whole,DirectPay,5377
customer service supervisor,10,CT,OWN,62000,Not Verified,35.5,NA,,NA,0,NA,1985,1,22,16,123700,50358,0,0,NA,0,0,3,4,6,16,0,0,4,51700,16,13,7,1,100,0,0,credit_card,individual,4800,36,10.41,fractional,Cash,5378
,NA,MI,OWN,63000,Source Verified,12.61,NA,,NA,0,NA,2004,1,22,12,48100,18267,0,0,NA,0,0,0,8,1,12,0,0,4,18000,22,12,10,0,100,0,0,debt_consolidation,individual,15000,36,13.58,fractional,Cash,5379
jrotc instructor ,1,CA,MORTGAGE,135500,Verified,24.01,NA,,NA,0,NA,1999,5,38,17,778755,127955,0,0,NA,0,0,4,8,7,17,0,0,5,34700,18,11,5,3,100,0,0,debt_consolidation,individual,25000,36,10.9,fractional,Cash,5380
production tech,10,KS,MORTGAGE,56000,Not Verified,3.81,NA,,NA,0,NA,2009,0,8,4,48850,2978,0,0,NA,0,0,1,1,20,4,0,0,0,0,4,2,1,2,100,0,0,other,individual,3000,36,7.34,whole,Cash,5381
,NA,NJ,MORTGAGE,75000,Not Verified,19.75,NA,,NA,0,65,2001,3,27,15,369983,30126,0,0,NA,0,0,3,6,2,15,0,0,7,52000,12,10,7,6,96,0,0,debt_consolidation,individual,10000,36,6.08,fractional,Cash,5382
program assistant,10,MD,RENT,67760,Not Verified,30.69,NA,,NA,0,30,1993,1,33,13,127486,71818,0,0,NA,0,0,3,6,12,13,0,0,1,22800,20,9,1,0,78.8,0,0,debt_consolidation,individual,5300,36,9.43,whole,Cash,5383
,NA,GA,OWN,20800,Not Verified,29.65,NA,,NA,0,NA,1999,0,8,7,47800,18181,0,1,NA,0,0,0,3,NA,7,0,0,4,43800,7,6,4,0,100,1,0,debt_consolidation,individual,14450,36,15.05,whole,Cash,5384
rn,7,NC,MORTGAGE,62200,Not Verified,19.58,NA,,NA,0,NA,1999,0,12,4,203900,36705,0,0,NA,0,0,1,1,NA,4,0,0,2,35400,8,2,2,2,100,0,0,debt_consolidation,individual,26400,60,14.07,whole,Cash,5385
lpn,3,NY,OWN,40000,Not Verified,23.97,105000,Not Verified,20.43,0,30,2001,10,28,9,61108,53651,0,0,30,0,0,2,2,8,9,0,0,1,500,14,7,3,1,60.7,0,0,other,joint,6500,36,22.91,fractional,Cash,5386
admissions counselor,8,HI,RENT,54000,Source Verified,29.28,NA,,NA,0,NA,2007,0,19,7,60610,44422,0,0,NA,0,0,2,2,14,7,0,0,2,7000,11,5,4,0,100,0,0,other,individual,25000,36,15.04,whole,Cash,5387
regional sales manager,0,TX,MORTGAGE,275000,Source Verified,14.66,NA,,NA,0,NA,1992,4,42,23,603684,113274,0,0,NA,0,0,5,9,6,23,0,0,2,178100,23,17,3,5,100,0,0,debt_consolidation,individual,19000,60,7.35,fractional,Cash,5388
construction manger,10,NY,RENT,113500,Not Verified,31.08,NA,,NA,0,47,2004,0,31,14,137071,80904,0,0,47,0,0,3,4,13,14,0,0,7,22600,17,11,8,2,93.3,0,0,credit_card,individual,16000,60,13.58,whole,Cash,5389
director of laser sales,9,CA,MORTGAGE,320000,Source Verified,3.69,NA,,NA,0,24,2011,6,11,8,56788,14834,0,1,NA,0,59,3,0,1,8,0,0,1,7100,6,5,2,0,81.8,0,1,debt_consolidation,individual,35000,36,7.97,whole,Cash,5390
maint,9,VT,MORTGAGE,81000,Verified,20.59,NA,,NA,1,9,2005,3,38,10,258906,62606,0,0,43,0,0,3,4,6,10,0,0,2,17100,23,5,3,3,89.5,0,0,debt_consolidation,individual,15000,60,18.45,whole,Cash,5391
rn,10,CO,MORTGAGE,65000,Source Verified,40.15,125000,Source Verified,23.92,0,NA,2003,3,29,17,459836,117216,0,1,NA,0,0,8,10,1,17,0,0,2,18800,13,8,4,4,100,0,1,debt_consolidation,joint,14500,36,7.35,whole,Cash,5392
,NA,NE,RENT,17000,Verified,18.15,NA,,NA,2,16,2008,0,17,9,14000,8399,0,0,16,0,0,0,2,NA,9,0,0,4,6200,14,9,6,0,82.4,0,0,credit_card,individual,10200,36,7.96,whole,DirectPay,5393
,NA,FL,RENT,100000,Verified,19.15,NA,,NA,0,NA,2005,2,38,14,111701,44056,0,1,NA,0,0,3,7,2,14,0,0,2,21900,23,11,4,0,100,0,1,debt_consolidation,individual,40000,36,9.43,whole,Cash,5394
,NA,WV,MORTGAGE,110000,Not Verified,19.4,NA,,NA,1,16,2002,3,49,17,141508,33018,0,0,60,0,4800,3,1,0,17,0,0,6,15200,40,13,12,2,91.8,0,0,credit_card,individual,8000,36,9.93,whole,Cash,5395
manager,9,HI,MORTGAGE,80400,Verified,6.71,NA,,NA,0,36,2010,7,21,14,382190,15229,0,0,40,0,0,0,6,2,14,0,0,7,45000,13,13,7,4,83.3,0,0,debt_consolidation,individual,27200,36,9.43,whole,Cash,5396
military officer,9,VT,MORTGAGE,114416,Source Verified,3.3,NA,,NA,0,NA,2004,2,13,7,605065,13185,0,0,NA,0,0,0,4,3,7,0,0,3,80800,7,5,3,3,100,0,0,debt_consolidation,individual,16000,36,5.32,whole,Cash,5397
network technician,10,NJ,RENT,101000,Not Verified,10.24,NA,,NA,0,62,1998,1,21,10,104660,32772,0,0,NA,0,0,2,7,8,10,0,0,6,33300,9,7,6,4,95.2,0,0,credit_card,individual,21000,36,5.31,whole,DirectPay,5398
property manager ,0,PA,RENT,35000,Not Verified,6.17,NA,,NA,2,9,2002,0,9,5,33200,7932,0,0,9,0,0,1,0,21,5,0,0,2,28500,7,4,2,0,66.7,0,0,credit_card,individual,4800,36,5.31,whole,DirectPay,5399
transportation operator,2,NY,RENT,35000,Not Verified,4.87,NA,,NA,0,NA,2003,1,17,9,14700,7043,0,0,NA,0,744,0,2,7,9,0,0,4,6500,15,9,6,0,100,0,0,other,individual,5000,36,10.42,whole,Cash,5400
database manager,1,NY,RENT,93000,Source Verified,17.57,NA,,NA,0,NA,2005,1,38,16,121034,83008,0,0,NA,0,0,4,2,11,16,0,0,8,76900,22,12,8,0,100,0,0,credit_card,individual,32000,36,6.71,whole,DirectPay,5401
cna,5,MA,RENT,40000,Source Verified,23.1,NA,,NA,0,NA,2011,0,13,10,44050,22484,0,0,NA,0,0,3,4,17,10,0,0,3,20900,9,7,4,0,100,0,0,credit_card,individual,10000,36,11.99,whole,Cash,5402
banker,8,MI,MORTGAGE,180000,Not Verified,9.62,NA,,NA,0,NA,2003,1,31,5,365056,105380,0,0,NA,0,0,0,2,9,5,0,0,2,51700,8,3,3,5,100,0,0,debt_consolidation,individual,32000,60,9.43,whole,Cash,5403
nurse practitioner ,0,SC,MORTGAGE,105000,Source Verified,21.68,175000,Source Verified,13.67,0,36,1982,2,49,14,720131,301518,0,0,NA,0,0,5,6,1,14,0,0,3,33000,12,8,4,1,95.7,0,0,debt_consolidation,joint,36000,36,9.93,whole,Cash,5404
commercial driver,10,WA,RENT,70000,Verified,5.81,NA,,NA,1,21,1985,3,31,9,269250,83591,0,0,37,0,0,0,4,1,9,0,0,2,8400,25,8,5,2,71,0,0,debt_consolidation,individual,11000,36,7.34,fractional,Cash,5405
team leader,4,NJ,RENT,30000,Source Verified,34.72,NA,,NA,0,NA,2012,2,13,6,45429,15189,0,0,NA,0,0,2,3,2,6,0,0,2,16000,7,4,2,0,100,0,0,other,individual,3000,36,10.9,whole,Cash,5406
nail,10,CA,RENT,26000,Source Verified,3.46,62000,Source Verified,20.42,1,15,2008,0,8,1,1000,0,0,0,NA,0,0,0,0,NA,1,0,0,0,0,7,1,0,0,87.5,0,0,debt_consolidation,joint,20000,36,16.01,whole,Cash,5407
business analysis,1,NC,OWN,165000,Not Verified,31.09,NA,,NA,0,NA,1992,2,34,16,667279,201020,0,0,NA,0,0,6,7,9,16,0,0,6,57600,10,8,7,2,100,0,0,debt_consolidation,individual,14000,60,9.92,whole,Cash,5408
after school and day camp director,1,NY,RENT,35000,Not Verified,29.46,NA,,NA,0,48,2007,0,19,7,48987,33644,0,0,NA,0,0,2,4,13,7,0,0,1,7000,9,5,2,0,94.7,0,0,credit_card,individual,5250,36,11.98,whole,Cash,5409
,NA,PA,OWN,60000,Not Verified,8.12,93000,Not Verified,10.05,0,NA,1992,0,30,19,220658,19586,0,0,NA,0,500,1,2,14,19,0,0,1,38000,26,17,3,1,100,0,0,credit_card,joint,5000,36,7.34,whole,Cash,5410
customer technical support supervisor,0,FL,RENT,56000,Not Verified,14.23,NA,,NA,0,NA,2006,2,23,5,52600,30614,0,0,NA,0,0,1,7,2,5,0,0,2,27600,16,4,2,0,100,0,0,credit_card,individual,4500,36,7.97,whole,Cash,5411
honor health,5,AZ,MORTGAGE,100000,Source Verified,29.77,NA,,NA,0,NA,2001,1,35,17,360108,88356,0,0,NA,0,0,3,8,11,17,0,0,6,46400,25,13,9,4,100,0,0,home_improvement,individual,10000,36,7.96,fractional,Cash,5412
retention,10,KS,MORTGAGE,52821.43,Not Verified,20.22,NA,,NA,0,NA,2005,0,14,5,219363,33191,0,0,NA,0,0,3,3,13,5,0,0,1,2500,4,1,1,1,100,0,0,other,individual,7000,36,7.35,whole,Cash,5413
electrical design engineer,10,FL,MORTGAGE,60000,Not Verified,13.91,NA,,NA,0,NA,2006,1,14,8,255304,31461,0,0,NA,0,0,2,2,2,8,0,0,2,30500,7,5,3,2,100,0,0,debt_consolidation,individual,12600,36,5.32,whole,Cash,5414
,NA,CA,MORTGAGE,125000,Not Verified,17.38,NA,,NA,0,47,1984,2,28,14,509898,71078,0,0,69,0,0,2,5,6,14,0,0,10,50800,16,11,11,2,82.1,0,0,credit_card,individual,8000,36,10.9,whole,Cash,5415
registered nurse,2,IN,OWN,60000,Not Verified,26.18,NA,,NA,0,50,1974,1,46,19,254025,49966,0,0,50,0,0,1,4,10,19,0,0,3,86100,37,16,5,2,97.8,0,0,home_improvement,individual,6000,36,6.07,whole,Cash,5416
dsr,9,OK,MORTGAGE,128000,Source Verified,16.74,186000,Source Verified,12.37,0,NA,2006,3,19,9,109732,68071,0,1,NA,0,289,2,3,4,9,0,0,3,27000,10,7,5,0,100,0,1,other,joint,6000,36,6.72,whole,Cash,5417
manager ,8,NY,MORTGAGE,62000,Source Verified,27.7,NA,,NA,0,57,1998,1,45,17,106801,79437,0,0,71,0,0,7,5,0,17,0,0,3,7100,19,10,6,0,81.8,0,0,credit_card,individual,12000,36,10.42,fractional,Cash,5418
teacher,10,MI,MORTGAGE,67000,Source Verified,29.6,NA,,NA,0,NA,1983,2,34,24,277368,58062,0,0,NA,0,0,1,4,4,24,0,0,11,48900,27,22,15,1,100,0,0,credit_card,individual,10000,36,10.42,whole,DirectPay,5419
estimator,0,GA,MORTGAGE,123000,Source Verified,15.86,NA,,NA,0,NA,2004,2,18,11,237326,43462,0,0,NA,0,3915,2,7,1,11,0,0,2,22600,9,7,3,2,94.4,0,0,home_improvement,individual,20000,36,10.9,whole,Cash,5420
sheet metal worker/truck driver,10,NY,RENT,48000,Source Verified,15.25,NA,,NA,0,NA,2006,3,6,5,20594,15632,0,0,NA,0,0,2,3,3,5,0,0,3,3600,4,3,3,0,100,0,0,other,individual,15000,60,28.72,whole,Cash,5421
program manager,10,MD,MORTGAGE,160000,Not Verified,5.23,NA,,NA,0,NA,1985,0,30,13,580642,23163,0,0,NA,0,0,2,2,NA,13,0,0,1,51000,17,8,2,4,100,0,0,debt_consolidation,individual,30000,60,7.35,whole,Cash,5422
"registered nurse,charge",7,KY,OWN,99000,Not Verified,10.07,NA,,NA,0,59,2000,0,21,9,51900,33756,0,0,NA,0,0,0,0,NA,9,0,0,7,50900,15,9,7,2,90.5,0,0,credit_card,individual,40000,36,9.92,whole,Cash,5423
receptionist,1,IL,RENT,27278,Not Verified,19.93,NA,,NA,0,NA,2006,1,13,9,33085,21669,0,0,NA,0,0,5,3,6,9,0,0,3,6300,5,4,4,0,100,0,0,credit_card,individual,4800,36,16.01,fractional,Cash,5424
